tweet_id,author,content,label
1956991704,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,0.00
1956991723,briwyatt,ahh! big scary bug flying around my room!!!!!,0.00
1956992030,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",0.00
1956992144,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,0.00
1956992349,jarekpastor,@justamedicine  That was stone cold   Crazy....  ?,1.00
1956993007,villa_ld,i'm so tired,0.00
1956993080,cheiyinkeithsui,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,1.00
1956993206,dashdragan,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,1.00
1956994067,lockerhaxor,@thecreativeone I second that. I wish it rained more where I am,1.00
1956995196,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,0.00
1956995505,twakatovsrocks,damn it were is Eric or anyone else when you need your hair to be played with,1.00
1956995679,jmil1733,I'm feel deflated. Ugh. No more dog.,1.00
1956995762,foxtail84,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,0.00
1956995852,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow,1.00
1956996081,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,0.00
1956996385,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,1.00
1956996470,ohmygoshnina,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",0.00
1956996673,Merekdavis,@britblackbird  youstinkatrespondingtotexts!,0.00
1956996730,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,0.00
1956996765,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",1.00
1956996776,KitaCupcake,Is miserable  i feel like im gona cry  sux!,0.00
1956997143,louiethecat,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,1.00
1956997352,1azylizzie,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,0.00
1956997619,kudosbeauty,"claire @breakfastnt love the show, got into the office @ 5am and no radio",1.00
1956998370,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,1.00
1956998532,katienaas,*sigh* I'm going to bed... I just don't feel right anymore...,0.00
1956998538,jeannicole,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,1.00
1956998698,FoOie,@jwillock EpiCentre Wheelock Place - tourists only..,1.00
1956998704,sillynic,Now I am depressed after watching so you think you can dance,0.00
1957000040,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",0.00
1957000077,danzjoe,miss 16'th,1.00
1957000152,RoxieDax,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",1.00
1957000290,Ohtybaby,"I cant sleep, but im too sore to move",0.00
1957000314,Phenikone,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,1.00
1957000336,Gen22,@softtouchme just answered you- never learned how to write in French- just basic stuff-,0.00
1957000372,cv70,what is it with chocolates? i just can never say no,1.00
1957000788,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,0.00
1957001049,amy__xx,@ether_radio i'm too awake now  ill have a nap this afternoon,1.00
1957001370,katlovesjoelk,@omfgiselle i cant do anything,0.00
1957001496,miss_sammi,still needs another 6 hours of sleep,1.00
1957001506,benmfowler,I'm at work,1.00
1957001854,Samiijoo,RIP leonardo. You were a great mini fiddler crab,1.00
1957001967,mozwold,"Morning tweeple,way to early again",1.00
1957002082,V0NST3V3,"Last day working for the Uni today, sad times",0.00
1957002773,UncoolRockstar,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",1.00
1957002923,indpndentgirly,My head hurts so bad I could scream!,0.00
1957003048,rianne_kelsey,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,0.00
1957003356,nettlej,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,0.00
1957003440,autotips,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,0.00
1957003715,BlaqueBeautyy,"where are all ma bestfriends at ? , MIA or wat ?",1.00
1957004184,rionne,oh men!!!!!!......I really can't see my face........c'mon guys!!!,0.00
1957004519,asteinke,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",0.00
1957004606,riannasc,my sole supporter is not my sole supporter,0.00
1957004749,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,0.00
1957005165,RebeccaBrunner,@Emilyyy16 urgh stop it guys,0.00
1957005226,GiselleLee,is still missing her husband.    I really want him home.,0.00
1957005279,PYTDavis,I miss my puppy,0.00
1957005410,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",1.00
1957005696,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,1.00
1957005713,smilyross,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0.00
1957005817,JBabyLove,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,0.00
1957006033,klybob,@BarbSchaefer yearling in pet home died... very sad for their whole family,0.00
1957006074,rnbprincess79,fun in the sun hmmm hell no it's cold,1.00
1957006098,puelladei,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,0.00
1957006245,bella_facia,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",0.00
1957006307,ninz_0214,is feeling sad... for some reason..  http://plurk.com/p/wxji3,0.00
1957006547,spookychan,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,0.00
1957006674,nel5on,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,0.00
1957006725,andrewjennings,@juneyee i don't think so.  I WANT DETAILS.,1.00
1957006830,AddITame,@jackgraycnn Hi...!!! Who is Mary Poppins???,1.00
1957006947,miiiiiiike,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",0.00
1957007167,Dillontate,my last tweet didn't send  bad phone,1.00
1957007268,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,1.00
1957007357,_SNO_,Have a headache  I'm going to bed. Goodnight!,0.00
1957007394,jarekpastor,@taxidermi  I was watching Parental Control,1.00
1957007437,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",1.00
1957007633,IAmYourDensity,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0.00
1957007981,MunkyMunch,@jertronic it wont let me,0.00
1957008075,Inamint,Took a shift tomorrow.    I don't really feel like working right now.,0.00
1957008193,kimchiipanda,but now i have no money for a phone,0.00
1957008287,KarlOnSea,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,0.00
1957008292,RoseMarionTyler,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,0.00
1957008434,Just_Cath,@Bern_morley where are you? In Bris? I can't hear any thunder,1.00
1957008478,bekahjayne,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",1.00
1957008498,CathyDohling,Too bad the Red Devils.. disappointing to say the least,0.00
1957008766,shutitoff,I had a dream about a pretty pretty beach and there was no beach when I woke up,1.00
1957008802,pfak,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0.00
1957008987,lilTanker,when da heck will the garage man get here I ask you.. WHEN..,1.00
1957009454,woahitsJana,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",0.00
1957009666,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,0.00
1957010072,tiffalo,why are plane tickets so expensive,0.00
1957010329,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1.00
1957010415,trina3mg,Needs a job BADLY!!!,0.00
1957011291,ABCeCe,@AlexanderGWhite daaammmnnnnn I do wish I was there.,0.00
1957011738,ignoredt,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,0.00
1957012476,nickhalme,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0.00
1957012535,SexyBeach,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,0.00
1957012769,ditzyfrenchfrys,is a bad friend,0.00
1957013149,cheeseyy,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,1.00
1957013166,jupzchris,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,0.00
1957013488,LetitiaIvy,@aiderushton ill be over in an oir,1.00
1957013697,Labellajuicy,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,1.00
1957013723,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working,0.00
1957013804,jammmaster1021,@bobbyedner i missed the game,1.00
1957013885,debraladiva,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0.00
1957013895,kkjordan,@tiffalo cuz airlines are super lame.,0.00
1957013896,sigitt,@lenje - Still a pity it comes with no lamb though,0.00
1957014267,Karoli,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,0.00
1957014389,misscinders,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",1.00
1957014493,Taynted_lyfe,I'm so very tired...and have insomnia.,0.00
1957014517,dalastmil62,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,1.00
1957014653,sloanquigley,@yelgiuQnayR airport? and you didnt show up tonight homo!,1.00
1957014706,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",0.00
1957015287,skk123,@MrRathbone what about me,1.00
1957015475,WgtnCoffeeCup,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",1.00
1957015719,dancingwithself,people in my house do not know how to close doors,0.00
1957016086,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,1.00
1957016169,thatonebroad,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,1.00
1957016339,R_nB,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,0.00
1957016697,fritoleva,Had to cancel wow for now,0.00
1957016818,PnkRckGirl97,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,0.00
1957017164,RoxieDax,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,0.00
1957017177,KCSuzy,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",0.00
1957017320,xSpotlighted,@__sugar oh no  i am always here ;) &lt;3,0.00
1957017333,serinurshira,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,1.00
1957017486,skypen,@ poll : was trying to get it to work in a powerpoint to no avail.,1.00
1957017522,Davislb921,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",1.00
1957017595,c10gg3rgirl,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",1.00
1957017610,thetoughsams,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",1.00
1957018061,lsvdmbfan,Up late with nothin 2 do.....,0.00
1957018162,leilanire,i think the vog is making me sicker than i think. feeling slightly achy,0.00
1957018678,oohZOE,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",0.00
1957019034,monkeylover96,i am doing homework it sux big time maths is the worst!!!!!!,0.00
1957019121,portablegamer,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",1.00
1957019458,RefinedCaliber,#3wordsaftersex it never started...,1.00
1957019556,JMarmo13,sometimes i wish things could go back to the way they were the beginning of last summer,0.00
1957019715,Mrs_Jackman,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",0.00
1957019766,retroglo,@tarng Trudy's off Burnet...the one up north that no one goes to,0.00
1957020180,ChickenNuggets,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",0.00
1957020385,itspaigepenales,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",1.00
1957020390,Karmenyl,i'm sooooooooooooo confused,0.00
1957020593,anbudan_BALA,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",1.00
1957020624,Tonysize,"Work day 7 of 7,",0.00
1957020702,HD_Fury,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,1.00
1957020861,BritishAtHeart1,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",1.00
1957021039,Musti08,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",0.00
1957021224,la_oooo_ra,@mysticnz no im not  cries LOL,1.00
1957021305,AndyClaudine,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,0.00
1957021321,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",1.00
1957021486,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,0.00
1957021631,KittyPoops,Come on Knight... It's been well over 4 hours,1.00
1957022610,leonperkin,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,0.00
1957022799,dan11ela,@FoxxFiles aw u can't let me in on the secret!,1.00
1957023061,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",1.00
1957023133,AmyFuentes,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",0.00
1957023263,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",0.00
1957023739,Tin06,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,0.00
1957023842,hoolahoopchick,twittascope is NOT rocking my socks - go away already!!,1.00
1957023917,schlingel,Driving Back home because I forgot the piece of cake for @v_era,1.00
1957024334,o0hmaig0d,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,0.00
1957025428,lungjen,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",0.00
1957026475,annamaurice,It's pissing me off and not letting me follow ericka,0.00
1957027495,FreddyS87,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,0.00
1957027630,CforrClemmensen,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,0.00
1957027687,lucasd,@koifusionpdx i was so close to the tacos...one spot too late,1.00
1957027841,730Fam,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,0.00
1957028656,Fairywinds,is thinking so much and i'm at work,1.00
1957028775,MllexCamelia,I have forgot the live with the Jonas Brothers on Facebook,0.00
1957028895,d0nnadean,I haven't seen Muffin in two whole days!,0.00
1957029111,InNoSenseLost,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,0.00
1957029634,maddy_1212,my gap year is going so quick,1.00
1957029641,jocelleuntalan,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",0.00
1957029899,tokyojackson,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,1.00
1957030196,SoSpoiledDatsMe,my twitter has been hacked again,0.00
1957030545,faddict,Just found mj mouse flats at DJs. Of course there are none left in my size,0.00
1957030596,PULLINGTEEETH,@passingcarss i wont have time to buy  and i need a new binder pa,1.00
1957030622,sharnanicole,@lanacaitlin  hahaha well its try its so ugly,0.00
1957030793,aeria_gloris,25-man Ulduar is hard...,1.00
1957031520,Intel_Eric,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",0.00
1957031859,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,1.00
1957032014,Simranvfc,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],1.00
1957032051,allieeeec,@princess_oats this is happening to me too,1.00
1957032114,johnnypurple,@qi_tah oh no.  *hugs*,1.00
1957032127,minauderie,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",1.00
1957032228,tiffanylue,@xoshayzers i knoww  things won't be the samee &lt;/3,0.00
1957032539,tweeterchic66,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",0.00
1957033043,carlysialevert,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,1.00
1957033103,sjwilling,"Okay, so twitter suddenly changed, how do I respond to messages now",0.00
1957033219,mstellacrap,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,1.00
1957033558,Rossco_NZ,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,0.00
